主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件热度,事件一年内频率,事件历史悠久程度,地点,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期
0,1,0,0,2,1,1,null,2017/09/01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,长沙站营销峰会,2017/09/01
0,1,0,0,3,1,1,null,2017/09/01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中国（四川）电子商务发展峰会,2017/09/01
0,1,0,0,2,1,1,上海徐汇西岸艺术中心,2017/09/04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017全球（上海）人工智能创新峰会,2017/09/04
0,1,0,0,2,1,1,无锡,2017,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,中国·江苏太湖影视文化产业投资峰会,2017
0,1,0,0,1,1,1,北京国家会议中心,日前,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-09-05本网讯（记者李淼实习生段茜）,日前
0,1,0,0,3,1,1,广州,2017/09/05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中国机器人产业创新峰会,2017/09/05
0,1,0,0,1,1,1,广州,2017/09/05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CCTV证券资讯频道《超越》栏目组媒体支持的“匠馨精神・瑞克制造2017馨瑞克经销商峰会暨新品发布会,2017/09/05
0,1,0,0,3,1,1,广州,2017年8月30日,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,广东省经济和信息化委员会,2017年8月30日
0,1,0,0,1,1,1,北京国家会议中心,日前,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017-09-05本网讯（记者李淼实习生段茜）,日前
0,1,0,0,3,1,1,广州,2017/09/05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中国机器人产业创新峰会,2017/09/05
0,1,0,0,3,1,1,厦门,2017/09/05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,金砖峰会,2017/09/05